gender,height_cm,weight_kg,body fat_%,diastolic,systolic,gripForce,sit and bend forward_cm,sit-ups counts,broad jump_cm,class,name,address,city,state,email,birthdate,phone#
M,172.4,70.89,25.213074,91.9,141.9,48.0,17.55,58.9,205.1,A,Curtis Morgan,79207 Gutierrez Lodge Apt. 071,Garciaberg, AL 07943,charleschoi@hotmail.com,1974-12-21,244-790-9421
M,173.9,83.3,16.23428,86.3,148.5,42.97,8.43,57.1,252.8,C,John Rhodes,2256 Lewis Ways Suite 835,South Tiffany, MS 10586,mendezjillian@gmail.com,1980-01-10,7878624665
M,183.9,93.71,20.600493,88.4,158.0,52.02,5.62,52.2,240.0,B,Jimmy Hogan,1059 Lacey Lake,Haneyton, MH 60515,laura67@gmail.com,1989-07-26,(447)750-3415
M,158.8,79.98,25.947856,97.2,155.7,50.05,13.63,23.4,184.4,D,Johnny Dickerson,90073 Nancy View,New Jordan, WV 54732,robert46@hotmail.com,1963-11-01,(325)747-7778
M,168.6,61.16,14.715879,81.7,146.2,39.15,27.4,67.0,195.1,C,Matthew Smith,1932 Jesus Spurs,Chaseview, IA 22400,kim76@yahoo.com,2002-12-29,331-301-3365
M,176.6,75.47,13.358243,83.1,128.6,47.36,12.57,56.7,249.4,A,Bradley Hooper,147 Christine Radial,Port Patrickbury, PA 23900,tinagutierrez@hotmail.com,2002-08-30,001-226-439-5941
M,165.3,72.67,30.945609,101.7,139.2,38.75,16.71,33.0,186.2,D,Michael Graves,051 Bell Extensions Apt. 622,New Stevenhaven, SD 54569,bjohns@hotmail.com,1976-11-24,+1-301-886-4721
M,179.6,70.14,11.043864,75.0,136.3,49.35,13.02,58.8,247.3,C,Brian Whitaker,378 William Fort,Ramseyburgh, TN 55810,patrick06@yahoo.com,1996-09-16,336-722-0386
F,172.4,73.21,27.705644,87.9,133.6,30.47,17.27,36.5,171.8,A,Nicole Wright,0254 Monroe Terrace,Smithberg, AS 87731,shane21@yahoo.com,1978-03-22,807-324-6130
M,164.9,74.91,20.629556,71.3,131.1,41.38,4.99,47.9,145.7,B,Samuel Harris,329 Jeff Locks Suite 000,Dawnburgh, ME 25498,melissa64@yahoo.com,1987-01-10,799-560-4924
F,164.7,65.06,38.436531,77.6,137.5,32.97,14.52,23.9,148.3,D,Miranda Nelson,914 Reed Oval,West Stephanieside, NH 11608,gregorywilliams@hotmail.com,2002-06-12,5607973638
M,159.1,62.08,33.775443,91.9,130.4,31.53,16.41,34.4,167.0,B,Raymond Smith,08199 Morales Spurs Apt. 281,Ronaldside, WY 63774,michael73@hotmail.com,1960-02-06,388-425-2391
M,173.9,60.93,18.30736,79.0,129.8,37.35,16.73,21.7,216.6,D,William Owens,USS Houston,FPO AE 28992,-,bcochran@yahoo.com,1974-05-01,(339)614-0751
M,169.6,60.97,18.909292,84.4,125.5,40.89,27.8,36.1,187.6,C,Eric Padilla,31573 Jennifer Crossroad Apt. 339,Port Blakemouth, DE 30123,whitney87@hotmail.com,1968-06-21,(580)214-0446
M,176.6,86.9,23.578739,77.8,137.8,50.44,-2.33,57.4,229.8,B,Russell Hernandez,USCGC Petty,FPO AP 80543,-,robert04@yahoo.com,1996-03-19,6832094245
F,161.2,48.48,25.775161,64.3,117.9,25.74,26.62,35.1,163.5,D,Kathy Mcdonald,9541 Nelson Corners Suite 777,Rodriguezton, CO 47826,landrypeter@yahoo.com,1995-10-16,502-336-4694
M,175.7,68.75,16.697848,77.0,139.2,44.42,24.4,50.1,237.5,B,Jason Rodriguez,3679 William Field,Hillbury, MI 79154,kimberly03@gmail.com,2002-08-22,001-302-297-5116
M,183.0,86.41,21.365981,80.5,137.3,45.44,1.43,10.0,172.5,B,Christopher Martinez,"PSC 5168, Box 7347",APO AE 58122,-,mcdowellnorman@hotmail.com,1961-08-22,593-284-7760
F,165.5,64.0,24.342594,75.8,117.1,26.87,23.52,30.0,159.7,A,Ms. Nicole Nolan,57393 Gamble Manor,East Briana, FM 02013,johnsonheather@yahoo.com,1971-07-08,(496)941-7136
M,169.2,60.63,13.464665,74.0,131.4,52.39,39.17,66.3,263.9,C,Leonard Mitchell,1161 Christina Motorway,North Jordanborough, WV 06738,helen95@gmail.com,2002-12-29,+1-681-692-1237
F,157.4,44.52,25.21152,51.8,110.7,18.32,10.38,26.0,120.9,B,Kaitlyn Collins,15713 Ryan Mews Apt. 456,Janetstad, MP 87712,stewartwilliam@yahoo.com,1995-08-22,001-750-514-4518
M,167.1,70.44,15.030612,78.9,128.4,48.18,15.72,51.0,243.8,A,Ricardo Gardner,0557 Lisa Heights Apt. 351,Calebberg, MO 20887,anita69@yahoo.com,2001-03-16,995-845-1375
F,157.3,59.1,26.434395,82.5,108.7,35.27,22.02,55.5,178.7,A,Amy Henry,30474 Robin Branch,Patrickstad, NV 33704,dylan28@hotmail.com,2002-01-10,(635)613-6482
M,173.8,72.18,22.390357,87.9,158.0,35.02,15.7,29.2,189.2,A,Gilbert Buckley,2822 Charles Shore Apt. 329,Tanyashire, CT 38811,scottjean@hotmail.com,1959-07-31,001-643-967-8640
M,172.0,58.0,14.733131,68.7,110.5,38.91,16.79,61.1,256.0,C,Charles Castillo,925 Teresa Mall Suite 170,Amystad, MI 85297,dawnhenson@hotmail.com,1996-06-04,+1-655-872-8223
M,177.9,73.71,18.679762,60.1,113.7,46.13,19.53,51.3,245.0,C,William Jackson,95338 Melissa Stravenue Apt. 775,South Julia, OR 02826,brianbaird@hotmail.com,2001-01-09,(479)219-2187
M,157.7,49.85,21.807783,92.2,118.6,29.16,9.34,44.2,220.2,B,William Gentry,69278 Miller Square,Arnoldview, VI 00681,jessicawilson@yahoo.com,1969-01-19,(433)957-7478
F,158.5,56.43,22.206364,65.4,114.8,28.8,16.07,24.7,126.2,A,Susan Schneider,30532 Ryan Circle Suite 827,Wilsonfort, WI 30709,amy22@yahoo.com,1966-05-12,(484)342-3663
M,170.6,65.36,19.545655,62.9,129.8,38.38,8.05,61.9,230.4,B,Bradley Wood,00581 Brian Greens Suite 292,South Kristina, TN 73161,jackson38@yahoo.com,1982-08-10,+1-575-505-5911
M,161.8,55.79,21.878912,87.9,140.7,30.36,17.04,12.9,158.8,B,Keith Porter,659 Tyler Plaza Apt. 390,Deborahfort, MS 52221,goodmankatherine@gmail.com,1981-03-14,001-538-230-9280
F,170.7,69.9,17.608278,90.5,142.7,38.88,22.16,55.9,195.2,C,Laura Gordon,"PSC 7724, Box 2323",APO AA 69472,-,wrightjoshua@yahoo.com,1989-06-19,+1-236-790-6049
M,184.7,76.51,9.90086,96.3,163.7,50.21,9.63,58.0,226.1,B,Craig Sutton,07193 Sellers Glens,North Kevinshire, HI 35731,michelle72@hotmail.com,1977-08-29,001-220-695-6391
M,171.5,70.68,23.177841,97.4,153.0,35.91,10.85,23.0,162.9,A,Stephen Huynh,6330 Bradley Gardens Suite 055,Port Janemouth, AS 89133,lewisjessica@gmail.com,1988-10-14,(682)947-1699
M,156.9,60.47,26.243017,72.2,109.7,28.56,13.76,53.8,179.3,C,Victor Wilcox,8517 Brett Manors Apt. 824,Lisabury, OK 76577,jamessnyder@hotmail.com,1971-04-29,983-229-2629
M,170.5,73.13,27.663308,85.9,136.1,35.76,10.01,34.2,153.6,D,John Christian,1064 Leon Passage,East Jonathan, VA 11743,stevenmcclain@yahoo.com,1998-12-23,484-953-4803
M,169.5,73.94,27.191567,74.3,123.8,42.02,3.56,26.5,146.4,D,Steven Russell,Unit 3637 Box 9196,DPO AA 76891,-,ncisneros@gmail.com,1971-09-23,7286070641
F,159.6,49.26,20.082837,46.5,100.2,28.99,16.91,34.5,141.6,B,Kimberly Roberts,11518 Olivia Drive,Phambury, ID 96575,charleshurley@hotmail.com,1992-08-03,001-726-453-5787
F,163.8,61.25,29.748665,73.8,112.8,25.51,17.61,18.1,118.0,B,Sharon Gill,5728 Elizabeth Canyon,East Jorgeside, NC 20660,justinclayton@gmail.com,1971-08-22,+1-378-397-8602
M,169.2,66.15,25.340329,85.3,149.6,39.09,16.14,38.1,211.2,B,Gary Miller,00405 Vincent Burg Suite 346,Shannonville, OR 33551,srobinson@gmail.com,1974-10-08,+1-715-520-1294
F,170.4,67.49,16.695666,61.7,119.4,50.66,22.32,61.3,251.0,C,Donna Fields,9832 Wheeler Mountain Apt. 158,Jonesshire, IL 73490,anthony68@yahoo.com,1999-07-03,290-816-5110
M,161.3,60.77,22.925547,84.8,137.9,35.78,12.49,50.2,202.2,C,Ryan Henry II,185 Rodgers Plains Apt. 355,South Wesleyville, WV 50330,richardguerra@yahoo.com,2002-09-03,806-643-6883
M,175.1,62.97,12.587591,71.3,126.6,42.62,20.56,52.1,186.5,C,Adam Henson,61317 Sarah Ville Apt. 152,North Michaelborough, HI 06046,yfriedman@gmail.com,1970-09-10,481-755-7133
F,163.4,50.5,17.641464,60.5,122.5,37.12,19.85,32.1,134.8,C,Jacqueline Day,USS Taylor,FPO AA 36199,-,courtneystanley@gmail.com,1996-02-26,(779)875-0576
M,169.6,71.32,26.695624,97.1,133.8,30.33,20.03,37.2,227.2,D,Jose Duncan,50921 Dale Centers Suite 120,West Wayneport, IL 44056,eramsey@hotmail.com,1987-07-26,001-307-983-0094
M,178.7,76.19,24.495849,79.7,135.8,45.55,2.13,15.2,205.8,B,Robert Smith,6562 Howard Cape Suite 259,Port Courtneyburgh, KS 42694,wongmichael@gmail.com,1989-02-04,957-665-5199
M,167.5,70.06,21.901659,72.9,113.8,30.21,11.31,50.3,195.6,A,Jonathan Parks,USCGC Holmes,FPO AP 87654,-,matthew05@yahoo.com,1981-02-12,999-590-7625
F,158.3,43.04,19.861406,70.6,119.5,21.54,33.56,26.5,163.0,C,Amanda Conrad,5616 William Rapid,North Sarahshire, ME 36241,jenniferjohnson@yahoo.com,1994-09-29,(746)492-0992
F,171.0,59.76,22.656429,85.2,112.6,36.07,19.78,47.7,184.6,C,Patricia Nelson,394 Rodney Springs,Port Denisechester, OH 39962,sroach@gmail.com,2001-08-20,001-773-944-9252
M,170.2,71.99,12.523027,75.1,111.9,40.46,11.89,52.8,199.4,A,Michael Ford,5841 Cheryl Bridge,North Clarence, SD 00939,garrettkara@yahoo.com,1961-01-01,526-345-4890
M,169.2,64.91,17.419844,70.8,120.5,43.94,13.72,49.8,204.8,B,Joseph Perez,77002 Mcdonald Run Suite 173,Klineville, DC 92431,nlucas@yahoo.com,1997-02-01,474-715-2801
M,162.9,64.36,16.776383,88.8,125.8,37.81,16.12,45.8,200.1,B,Marcus Atkins,2545 Nicole Points Suite 902,Jennamouth, NE 96139,frostchristina@hotmail.com,1971-02-01,872-427-7981
M,172.3,67.93,29.625094,76.7,112.2,40.99,7.61,33.8,173.7,C,Benjamin Wallace,342 Teresa Track,Port Jamieberg, CA 45160,julian15@yahoo.com,1966-06-05,+1-903-703-5615
M,172.3,70.16,18.287195,57.8,137.7,42.71,13.44,38.9,156.5,C,James Holmes,8212 Callahan Ville Suite 707,Matthewfort, MD 08345,morgan56@yahoo.com,1972-02-21,565-524-8375
F,181.5,67.19,9.321414,66.6,123.6,44.7,8.38,61.8,196.5,B,Wendy Lewis,90573 Smith Tunnel Apt. 667,North Carlos, NJ 66991,davismelissa@gmail.com,1986-05-10,400-881-9226
M,181.5,77.39,14.362065,70.7,130.1,53.4,1.43,32.4,236.3,D,Patrick Lara,0560 Bonnie Ridges Suite 558,Leahview, HI 29838,cheryl35@yahoo.com,1986-09-27,364-517-3907
M,156.9,75.7,28.598973,79.7,120.6,43.19,24.27,23.9,191.4,A,Gerald Mcfarland,04494 Steven Orchard,Hooverport, NY 47178,millerdennis@gmail.com,1964-10-28,(950)206-4102
F,154.2,43.6,18.176868,68.6,110.9,22.13,17.38,29.9,153.6,B,Crystal Ortiz,7987 Samantha Meadow,West Maxtown, WI 66399,jason44@gmail.com,1986-06-01,6176369702
F,167.7,64.8,24.277453,66.1,113.2,36.59,15.26,36.3,172.3,B,Tammy Williams,0683 Molly Curve Apt. 542,New Zachary, OK 00509,camachomario@gmail.com,2000-01-11,396-884-2130
M,170.7,63.42,11.89895,86.3,128.4,54.42,19.54,62.6,266.9,C,Timothy Carr,8674 Deborah Isle Apt. 901,Gomezfort, TN 06791,alyssa10@yahoo.com,2001-02-23,643-893-1059
M,165.0,60.86,27.97354,67.8,110.2,21.97,15.34,32.6,178.0,B,Devin Cruz,57044 Bennett Burg,Stephensshire, AS 38657,stevenryan@hotmail.com,1989-03-06,525-203-7881
M,163.7,69.88,25.791529,91.4,135.8,40.71,11.49,39.9,193.6,A,Jonathan Hernandez,187 Evans Mountains Apt. 615,East Robert, MP 08432,ldunn@hotmail.com,1980-12-21,001-316-475-2928
M,170.2,61.18,20.694005,74.5,126.8,41.4,17.46,38.7,209.8,B,Adam Hampton,276 Erik Lakes Apt. 684,Comptonland, ND 22488,lynn61@hotmail.com,1976-04-22,(823)911-4713
F,165.6,60.55,30.916753,91.0,119.7,16.06,13.92,23.4,129.7,B,Brooke Powell,8765 Davis Lake Suite 942,East Evanberg, UT 44607,rogersjames@gmail.com,1996-10-15,880-908-9383
F,164.9,64.45,23.25416,79.3,125.4,27.07,15.57,47.8,209.5,D,Melody Lloyd,4875 Ford Roads Suite 900,Griffinview, TN 78874,williamslonnie@gmail.com,1971-06-27,001-594-688-0212
M,176.5,79.53,18.88164,79.3,134.8,51.3,15.35,57.0,246.1,A,Michael Lawrence,40347 Jennifer Harbors,Bakerton, SD 78760,samuelnguyen@yahoo.com,2001-06-23,282-872-8281
M,175.1,67.1,11.56566,83.9,142.3,51.46,10.36,35.1,219.1,B,Ricardo Watkins,20141 Stacy Village Suite 287,Adrianland, HI 83561,stevenbarnes@gmail.com,1997-05-25,(843)252-0539
M,184.4,79.96,21.634479,86.9,147.6,44.65,31.78,56.9,241.6,C,Christopher Blevins,43752 Reyes Extension Apt. 309,Carrollshire, WY 66759,zachary92@yahoo.com,2002-02-12,749-818-1214
M,178.2,99.28,14.320687,68.4,128.4,64.33,24.3,63.4,256.1,C,Travis Wolfe,1085 Henderson Cliffs Apt. 411,Walkermouth, NM 36413,michaelpatel@gmail.com,1989-02-27,001-690-377-1671
M,187.8,86.63,17.271166,84.3,134.9,50.26,-1.52,48.2,244.7,A,Christopher Perry,9540 Lewis Squares,Brianview, DE 69601,elizabethayala@yahoo.com,1988-01-05,(415)322-8785
F,169.9,65.62,23.135432,73.3,145.1,43.9,21.31,43.3,212.2,A,Madison Rogers,585 Conrad Rue,Mcfarlandberg, WI 72995,swansonmatthew@gmail.com,2002-01-25,(893)972-0711
F,156.0,54.23,21.697619,72.0,109.9,20.62,15.67,42.1,158.9,D,Katie Lawrence,Unit 3761 Box 5318,DPO AP 40824,-,stevenpatrick@yahoo.com,2002-10-23,906-751-9588
F,162.8,56.0,14.333976,81.5,147.3,38.43,21.92,34.7,237.4,C,Mary Miller,20839 Jackson Mountains,Jenniferton, HI 50961,brian97@hotmail.com,1988-03-12,+1-486-262-7572
M,152.4,47.51,32.42691,79.2,115.5,15.95,19.48,36.6,143.9,A,Michael Casey,570 Martha Inlet Suite 959,Brittanyfurt, MD 03605,cooperjennifer@yahoo.com,2001-09-07,289-469-4199
M,179.7,74.46,26.024985,75.2,123.5,43.82,18.63,60.0,194.4,A,Daniel Chan,1000 Ashley Forks,Sanchezbury, NV 40856,bairdpaul@hotmail.com,2000-03-18,+1-331-979-6632
M,184.2,79.4,17.009591,89.7,155.8,41.95,11.99,34.2,195.5,D,Angel Moran,23896 Andrea Divide,East Victoriaborough, HI 56498,rebekahwaters@yahoo.com,1977-05-19,468-749-4944
M,174.7,88.94,16.043873,78.4,152.2,53.74,6.18,56.4,254.7,C,Luke Walters,07681 Beth Walk,Rachelview, WA 02978,robinmartinez@gmail.com,1972-08-21,001-348-533-0463
M,174.5,54.22,19.050002,70.9,140.7,21.0,14.91,34.2,169.2,C,Daniel Hart,0674 Fuller Fort Suite 157,South Thomas, FL 87569,aarongraves@hotmail.com,1992-01-16,001-266-311-4838
F,182.0,65.43,14.375966,91.4,153.3,44.32,19.28,56.7,197.3,D,Kerri Green,392 Yates Burg,East Ashleyport, MS 33120,tylersusan@yahoo.com,1993-03-23,869-760-7405
F,180.5,69.98,13.887062,69.4,122.1,53.66,21.35,55.7,251.4,B,Crystal Greene,460 Cole Pass,Brayshire, NM 06860,drivera@gmail.com,2000-08-26,(596)534-4599
M,178.2,88.24,14.262132,91.8,154.3,53.73,6.79,48.8,226.6,D,Joseph Robinson,158 Reyes Station,Laurenfort, MP 33691,sabrina05@gmail.com,1974-11-24,7767963588
M,168.0,58.69,19.080044,83.2,135.7,35.46,6.91,39.9,150.5,A,David Burke,98520 Jordan Lodge,Nguyenfurt, ME 25700,kellerwilliam@yahoo.com,1961-03-03,+1-285-813-6566
M,180.1,80.54,24.568492,64.4,123.3,45.3,16.13,47.0,248.1,D,Dan Ayers,387 Ryan Parkway Suite 230,Port Alexander, MO 96759,robert96@gmail.com,1998-08-23,(208)804-9987
M,177.9,76.49,9.925575,71.6,129.8,56.68,7.97,52.8,242.2,A,Eric Terrell,71806 Dudley Parkways Apt. 243,Rhondastad, AR 57965,timothy67@hotmail.com,2001-11-18,001-206-354-6934
F,168.8,75.01,35.654529,78.4,117.0,40.26,26.15,19.7,132.2,B,Nicole Keith,"PSC 3591, Box 4186",APO AA 74688,-,pottsclarence@yahoo.com,1984-03-28,001-482-412-2548
F,177.0,82.36,22.66251,100.1,146.0,38.51,20.28,64.6,220.1,D,Cindy Huffman,5739 Allen Roads Suite 118,Lake Jacobmouth, AS 42739,keith95@hotmail.com,1979-08-17,5527414152
M,164.3,75.71,18.152761,60.5,118.2,44.4,18.02,53.8,212.7,D,Kenneth Price,3598 Bowen Square,Nicolechester, MI 97955,fitzpatrickkatherine@hotmail.com,1982-01-12,001-205-852-4852
